Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500469,FEDERALBNK,A,136.20,136.80,135.25,136.10,307655,418.80,5128
532830,ASTRAL,A,1986.05,1991.75,1930.10,1937.15,21441,416.55,3192
543398,LATENTVIEW,B,389.00,403.00,388.30,395.60,104398,414.74,4487
500414,TIMEX,XT,155.40,155.45,151.50,155.40,263132,408.26,642
542851,GENSOL,M,1684.50,1690.00,1578.05,1599.30,25460,407.27,267
540222,LAURUSLABS,A,473.00,474.15,464.00,470.25,86729,406.27,2971
532348,SUBEX,A,28.90,29.50,28.70,29.30,1381950,402.86,4000
511243,CHOLAFIN,A,721.00,724.45,715.00,721.70,55985,401.91,792
500387,SHREECEM,A,23170.00,23294.80,23000.00,23239.30,1726,400.57,390
522205,PRAJIND,A,418.05,437.05,416.10,433.60,93015,400.17,2711
532790,TANLA,A,750.00,768.00,748.85,756.55,52507,398.58,3397
524051,POLYPLEX,A,1770.00,1807.45,1750.90,1758.85,22093,392.75,2360
532343,TVSMOTOR,A,1087.05,1129.65,1087.05,1103.50,35092,390.57,2852
539841,LANCER,B,475.10,512.00,475.10,502.50,77984,389.35,3893
541143,BDL,A,947.35,955.25,912.30,917.45,41851,386.43,2521
530813,KRBL,A,414.90,417.95,394.75,397.10,95215,385.61,2557
540205,AVL,B,1301.00,1360.00,1276.05,1293.65,29169,385.38,1560
500670,GNFC,A,598.95,599.50,575.05,578.95,65452,382.20,3112
543524,RAINBOW,B,803.50,881.15,803.50,867.65,44326,379.24,3417
532768,FIEMIND,B,1982.05,2031.00,1853.05,1869.65,19170,373.15,3736
540401,MAXIMUS,T,28.25,29.50,28.25,29.50,1267417,371.02,3137
533206,SJVN,A,36.35,38.40,36.25,37.40,971313,363.90,4240
540716,ICICIGI,A,1125.00,1131.50,1116.25,1120.40,32029,359.19,1759
500116,IDBI,A,47.05,48.35,47.00,47.35,754159,357.69,2482
543227,HAPPSTMNDS,A,1000.00,1005.00,991.00,996.00,35820,356.77,3131
505283,KIRLPNU,B,568.95,589.70,562.95,585.60,61392,356.59,1083
531642,MARICO,A,499.55,501.30,495.55,498.20,71480,356.19,2285
519126,HNDFDS,A,614.00,648.00,596.00,624.10,56681,355.94,5353
532754,GMRINFRA,A,38.30,38.45,36.45,37.00,951933,351.84,3480
532296,GLENMARK,A,430.05,435.70,424.55,435.00,81572,351.09,2340
543066,SBICARD,A,809.00,816.00,807.10,810.90,42878,348.43,1518
543220,MAXHEALTH,A,440.05,440.75,431.30,433.15,79900,347.43,2703
543635,PPLPHARMA,B,141.20,142.00,138.60,139.35,245724,343.07,4005
500128,ELECTCAST,B,40.10,42.60,38.80,41.95,834904,342.14,3574
531344,CONCOR,A,772.00,772.00,759.60,763.65,44215,337.61,899
542667,WORL,B,158.00,166.80,155.20,166.80,207012,337.23,1413
500495,ESCORTS,A,1966.05,2030.25,1966.05,2012.90,16717,336.59,1284
532395,AXISCADES,B,374.00,385.15,367.10,373.10,87865,333.73,2858
532067,KILPEST,X,415.30,430.00,400.00,417.70,78761,329.31,1805
543271,JUBLINGREA,A,583.15,586.00,566.00,571.25,57125,328.89,2713
532955,RECLTD,A,100.95,100.95,99.80,100.25,326468,327.10,2694
